surah_number,ayah_number,transliteration_converted
2,34,Wa ʼiḏ qulna lilmalaʼikati asjudu liʼdama fasajadu ʼilla ʼiblisa ʼaba wa astakbara wa kana mina al-kafirin.
2,35,Wa qulna ya ʼadamu askun ʼanta wa zawjuka al-jannata wa kula minha raɣadan ḥayṯu ciʼtuma wa la taqraba haḏihi ac-cajarata fatakuna mina aḏ̣-ḏ̣alimin.
2,36,Faʼazallahuma ac-cayṭanu ɛanha faʼaxrajahuma mimma kana fihi wa qulna ahbiṭu baɛḍukum libaɛḍin ɛaduwun wa lakum fi al-ʼarḍi mustaqarrun wa mataɛun ʼila ḥinin.
2,37,Fatalaqqa ʼadamu min rabbihi kalimatin fataba ɛalayhi ʼinnahu huwa at-tawwabu ar-raḥim.
2,38,Qulna ahbiṭu minha jamiɛan faʼimma yaʼtiyannakum minni hudan faman tabiɛa hudaya fala xawfun ɛalayhim wa la hum yaḥzanun.
2,39,Wa al-laḏina kafaru wa kaḏḏabu biʼayatina ʼulaʼika ʼaṣḥabu an-nari hum fiha xalidun.
2,40,Ya bani ʼisraʼila aḏkuru niɛmati allati ʼanɛamtu ɛalaykum wa ʼawfu biɛahdi ʼufi biɛahdikum wa ʼiyaya farhabun.
2,41,Wa ʼaminu bima ʼanzaltu muṣaddiqan lima maɛakum wa la takunu ʼawwala kafirin bihi wa la tactaru biʼayati ṯamanan qalilan wa ʼiyaya fa attaqun.
2,42,Wa la talbisu al-ḥaqqa bil-baṭili wa taktumu al-ḥaqqa wa ʼantum taɛlamun.
2,43,Wa ʼaqimu aṣ-ṣalata wa ʼatu az-zakata wa arkaɛu maɛa ar-rakiɛin.
2,44,ʼataʼmuruna an-nasa bil-birri wa tansawna ʼanfusakum wa ʼantum tatluna al-kitaba ʼafala taɛqilun.
2,45,Wa astaɛinu biṣ-ṣabri wa aṣ-ṣalati wa ʼinnaha lakabiratun ʼilla ɛala al-xaciɛin.
2,46,Al-laḏina yaḏ̣unnuna ʼannahum mulaqu rabbihim wa ʼannahum ʼilayhi rajiɛun.
2,47,Ya bani ʼisraʼila aḏkuru niɛmati allati ʼanɛamtu ɛalaykum wa ʼanni faḍḍaltukum ɛala al-ɛalamin.
2,48,Wa attaqu yawman la tajzi nafsun ɛan nafsin cayʼan wa la yuqbalu minha cafaɛatun wa la yuʼxaḏu minha ɛadlun wa la hum yunṣarun.
2,49,Wa ʼiḏ najjaynakum min ʼali firɛawna yasumunakum suʼa al-ɛaḏabi yuḏabbiḥuna ʼabnaʼakum wa yastaḥyuna nisaʼakum wa fi ḏalikum balaʼun min rabbikum ɛaḏ̣imun.
2,50,Wa ʼiḏ faraqna bikum al-baḥra faʼanjaynakum wa ʼaɣraqna ʼala firɛawna wa ʼantum tanḏ̣urun.
2,51,Wa ʼiḏ waɛadna musa ʼarbaɛina laylatan ṯumma attaxaḏtum al-ɛijla min baɛdihi wa ʼantum ḏ̣alimun.
2,52,Ṯumma ɛafawna ɛankum min baɛdi ḏalika laɛallakum tackurun.
2,53,Wa ʼiḏ ʼatayna musa al-kitaba wa al-furqana laɛallakum tahtadun.
2,54,Wa ʼiḏ qala musa liqawmihi ya qawmi ʼinnakum ḏ̣alamtum ʼanfusakum biattixaḏikum al-ɛijla fatubu ʼila bariʼikum faqtulu ʼanfusakum ḏalikum xayrun lakum ɛinda bariʼikum fataba ɛalaykum ʼinnahu huwa at-tawwabu ar-raḥim.
2,55,Wa ʼiḏ qultum ya musa lan nuʼmina laka ḥatta nara Allaha jahratan faʼaxaḏatkum aṣ-ṣaɛiqatu wa ʼantum tanḏ̣urun.
2,56,Ṯumma baɛaṯnakum min baɛdi mawtikum laɛallakum tackurun.
2,57,Wa ḏ̣allalna ɛalaykum al-ɣamama wa ʼanzalna ɛalaykum al-manna wa as-salwa kulu min ṭayyibati ma razaqnakum wa ma ḏ̣alamuna wa lakin kanu ʼanfusahum yaḏ̣limun.
2,58,Wa ʼiḏ qulna adxulu haḏihi al-qaryata fakulu minha ḥayṯu ciʼtum raɣadan wa adxulu al-baba sujjadan wa qulu ḥiṭṭatun naɣfir lakum xaṭayakum wa sanazidu al-muḥsinin.
2,59,Fabaddala al-laḏina ḏ̣alamu qawlan ɣayra al-laḏi qila lahum faʼanzalna ɛala al-laḏina ḏ̣alamu rijzan mina as-samaʼi bima kanu yafsuqun.
2,60,Wa ʼiḏ astasqa musa liqawmihi faqulna aḍrib biɛaṣaka al-ḥajara fanfajarat minhu aṯnata ɛacrata ɛaynan qad ɛalima kullu ʼunasin macrabahum kulu wa acrabu min rizqi Allahi wa la taɛṯaw fi al-ʼarḍi mufsidin.
2,61,Wa ʼiḏ qultum ya musa lan naṣbira ɛala ṭaɛamin waḥidin fadɛu lana rabbaka yuxrij lana mimma tunbitu al-ʼarḍu min baqliha wa qiṯṯaʼiha wa fumiha wa ɛadasiha wa baṣaliha qala ʼatastabdiluna al-laḏi huwa ʼadna bial-laḏi huwa xayrun ahbiṭu miṣran faʼinna lakum ma saʼaltum wa ḍuribat ɛalayhim aḏ-ḏillatu wa al-maskanatu wa baʼu biɣaḍabin mina Allahi ḏalika biʼannahum kanu yakfuruna biʼayati Allahi wa yaqtuluna an-nabiyina biɣayri al-ḥaqqi ḏalika bima ɛaṣaw wa kanu yaɛtadun.
2,62,ʼinna al-laḏina ʼamanu wa al-laḏina hadu wa an-naṣara wa aṣ-ṣabiʼina man ʼamana Billahi wa al-yawmi al-ʼaxiri wa ɛamila ṣaliḥan falahum ʼajruhum ɛinda rabbihim wa la xawfun ɛalayhim wa la hum yaḥzanun.
2,63,Wa ʼiḏ ʼaxaḏna miṯaqakum wa rafaɛna fawqakum aṭ-ṭura xuḏu ma ʼataynakum biquwatin wa aḏkuru ma fihi laɛallakum tattaqun.
2,64,Ṯumma tawallaytum min baɛdi ḏalika falawla faḍlu Allahi ɛalaykum wa raḥmatuhu lakuntum mina al-xasirin.
2,65,Wa laqad ɛalimtum al-laḏina aɛtadaw minkum fi as-sabti faqulna lahum kunu qiradatan xasiʼin.
2,66,Fajaɛalnaha nakalan lima bayna yadayha wa ma xalfaha wa mawɛiḏ̣atan lilmuttaqin.
2,67,Wa ʼiḏ qala musa liqawmihi ʼinna Allaha yaʼmurukum ʼan taḏbaḥu baqaratan qalu ʼatattaxiḏuna huzuan qala ʼaɛuḏu Billahi ʼan ʼakuna mina al-jahilin.
2,68,Qalu adɛu lana rabbaka yubayyin lana ma hiya qala ʼinnahu yaqulu ʼinnaha baqaratun la fariḍun wa la bikrun ɛawanun bayna ḏalika fafɛalu ma tuʼmarun.
2,69,Qalu adɛu lana rabbaka yubayyin lana ma lawnuha qala ʼinnahu yaqulu ʼinnaha baqaratun ṣafraʼu faqiɛun lawnuha tasurru an-naḏ̣irin.
2,70,Qalu adɛu lana rabbaka yubayyin lana ma hiya ʼinna al-baqara tacabaha ɛalayna wa ʼinna ʼin caʼa Allahu lamuhtadun.
2,71,Qala ʼinnahu yaqulu ʼinnaha baqaratun la ḏalulun tuṯiru al-ʼarḍa wa la tasqi al-ḥarṯa musallamatun la ciyata fiha qalu al-ʼana jiʼta bil-ḥaqqi faḏabaḥuha wa ma kadu yafɛalun.
2,72,Wa ʼiḏ qataltum nafsan fa addaraʼtum fiha wa Allahu muxrijun ma kuntum taktumun.
2,73,Faqulna aḍribuhu bibaɛḍiha kaḏalika yuḥyi Allahu al-mawta wa yurikum ʼayatihi laɛallakum taɛqilun.
2,74,Ṯumma qasat qulubukum min baɛdi ḏalika fahiya kalḥijarati ʼaw ʼacaddu qaswatan wa ʼinna mina al-ḥijarati lama yatafajjaru minhu al-ʼanharu wa ʼinna minha lama yaccaqqaqu fayaxruju minhu al-maʼu wa ʼinna minha lama yahbiṭu min xacyati Allahi wa ma Allahu biɣafilin ɛamma taɛmalun.
2,75,ʼafataṭmaɛuna ʼan yuʼminu lakum wa qad kana fariqun minhum yasmaɛuna kalama Allahi ṯumma yuḥarrifunahu min baɛdi ma ɛaqaluhu wa hum yaɛlamun.
2,76,Wa ʼiḏa laqu al-laḏina ʼamanu qalu ʼamanna wa ʼiḏa xala baɛḍuhum ʼila baɛḍin qalu ʼatuḥaddiṯunahum bima fataḥa Allahu ɛalaykum liyuḥajjukum bihi ɛinda rabbikum ʼafala taɛqilun.
2,77,ʼawala yaɛlamuna ʼanna Allaha yaɛlamu ma yusirruna wa ma yuɛlinun.
2,78,Wa minhum ʼummiyuna la yaɛlamuna al-kitaba ʼilla ʼamaniya wa ʼin hum ʼilla yaḏ̣unnun.
2,79,Fawaylun lillaḏina yaktubuna al-kitaba biʼaydihim ṯumma yaquluna haḏa min ɛindi Allahi liyactaru bihi ṯamanan qalilan fawaylun lahum mimma katabat ʼaydihim wa waylun lahum mimma yaksibun.
2,80,Wa qalu lan tamassana an-naru ʼilla ʼayyaman maɛdudatan qul ʼattaxaḏtum ɛinda Allahi ɛahdan falan yuxlifa Allahu ɛahdahu ʼam taquluna ɛala Allahi ma la taɛlamun.
2,81,Bala man kasaba sayyiʼatan wa ʼaḥaṭat bihi xaṭiʼatuhu faʼulaʼika ʼaṣḥabu an-nari hum fiha xalidun.
2,82,Wa al-laḏina ʼamanu wa ɛamilu aṣ-ṣaliḥati ʼulaʼika ʼaṣḥabu al-jannati hum fiha xalidun.
2,83,Wa ʼiḏ ʼaxaḏna miṯaqa bani ʼisraʼila la taɛbuduna ʼilla Allaha wa bil-walidayni ʼiḥsanan wa ḏi al-qurba wa al-yatama wa al-masakini wa qulu lilnnasi ḥusnan wa ʼaqimu aṣ-ṣalata wa ʼatu az-zakata ṯumma tawallaytum ʼilla qalilan minkum wa ʼantum muɛriḍun.
2,84,Wa ʼiḏ ʼaxaḏna miṯaqakum la tasfikuna dimaʼakum wa la tuxrijuna ʼanfusakum min diyarikum ṯumma ʼaqrartum wa ʼantum tac/hadun.
