surah_number,ayah_number,transliteration_converted
6,34,Wa laqad kuḏḏibat rusulun min qablika faṣabaru ɛala ma kuḏḏibu wa ʼuḏu ḥatta ʼatahum naṣruna wa la mubaddila likalimati Allahi wa laqad jaʼaka min nabaʼi al-mursalin.
6,35,Wa ʼin kana kabura ɛalayka ʼiɛraḍuhum faʼin astaṭaɛta ʼan tabtaɣiya nafaqan fi al-ʼarḍi ʼaw sullaman fi as-samaʼi fataʼtiyahum biʼayatin wa law caʼa Allahu lajamaɛahum ɛala al-huda fala takunanna mina al-jahilin.
6,36,ʼinnama yastajibu al-laḏina yasmaɛuna wa al-mawta yabɛaṯuhum Allahu ṯumma ʼilayhi yurjaɛun.
6,37,Wa qalu lawla nuzzila ɛalayhi ʼayatun min rabbihi qul ʼinna Allaha qadirun ɛala ʼan yunazzila ʼayatan wa lakinna ʼakṯarahum la yaɛlamun.
6,38,Wa ma min dabbatin fi al-ʼarḍi wa la ṭaʼirin yaṭiru bijanaḥayhi ʼilla ʼumamun ʼamṯalukum ma farraṭna fi al-kitabi min cayʼin ṯumma ʼila rabbihim yuḥcarun.
6,39,Wa al-laḏina kaḏḏabu biʼayatina ṣummun wa bukmun fi aḏ̣-ḏ̣ulumati man yacaʼ Allahu yuḍlilhu wa man yacaʼ yajɛalhu ɛala ṣiraṭin mustaqimin.
6,40,Qul ʼaraʼaytakum ʼin ʼatakum ɛaḏabu Allahi ʼaw ʼatatkum as-saɛatu ʼaɣayra Allahi tadɛuna ʼin kuntum ṣadiqin.
6,41,Bal ʼiyahu tadɛuna fayakcifu ma tadɛuna ʼilayhi ʼin caʼa wa tansawna ma tucrikun.
6,42,Wa laqad ʼarsalna ʼila ʼumamin min qablika faʼaxaḏnahum bil-baʼsaʼi wa aḍ-ḍarraʼi laɛallahum yataḍarraɛun.
6,43,Falawla ʼiḏ jaʼahum baʼsuna taḍarraɛu wa lakin qasat qulubuhum wa zayyana lahum ac-cayṭanu ma kanu yaɛmalun.
6,44,Falamma nasu ma ḏukkiru bihi fataḥna ɛalayhim ʼabwaba kulli cayʼin ḥatta ʼiḏa fariḥu bima ʼutu ʼaxaḏnahum baɣtatan faʼiḏa hum mublisun.
6,45,Faquṭiɛa dabiru al-qawmi al-laḏina ḏ̣alamu wa al-ḥamdu Lillahi rabbi al-ɛalamin.
6,46,Qul ʼaraʼaytum ʼin ʼaxaḏa Allahu samɛakum wa ʼabṣarakum wa xatama ɛala qulubikum man ʼilahun ɣayru Allahi yaʼtikum bihi anḏ̣ur kayfa nuṣarrifu al-ʼayati ṯumma hum yaṣdifun.
6,47,Qul ʼaraʼaytakum ʼin ʼatakum ɛaḏabu Allahi baɣtatan ʼaw jahratan hal yuhlaku ʼilla al-qawmu aḏ̣-ḏ̣alimun.
6,48,Wa ma nursilu al-mursalina ʼilla mubaccirina wa munḏirina faman ʼamana wa ʼaṣlaḥa fala xawfun ɛalayhim wa la hum yaḥzanun.
6,49,Wa al-laḏina kaḏḏabu biʼayatina yamassuhum al-ɛaḏabu bima kanu yafsuqun.
6,50,Qul la ʼaqulu lakum ɛindi xazaʼinu Allahi wa la ʼaɛlamu al-ɣayba wa la ʼaqulu lakum ʼinni malakun ʼin ʼattabiɛu ʼilla ma yuḥa ʼilayya qul hal yastawi al-ʼaɛma wa al-baṣiru ʼafala tatafakkarun.
6,51,Wa ʼanḏir bihi al-laḏina yaxafuna ʼan yuḥcaru ʼila rabbihim laysa lahum min dunihi wa liyun wa la cafiɛun laɛallahum yattaqun.
6,52,Wa la taṭrud al-laḏina yadɛuna rabbahum bil-ɣadati wa al-ɛaciyi yuriduna wajhahu ma ɛalayka min ḥisabihim min cayʼin wa ma min ḥisabika ɛalayhim min cayʼin fataṭrudahum fatakuna mina aḏ̣-ḏ̣alimin.
6,53,Wa kaḏalika fatanna baɛḍahum bibaɛḍin liyaqulu ʼahaʼuulaʼ manna Allahu ɛalayhim min baynina ʼalaysa Allahu biʼaɛlama bic-cakirin.
6,54,Wa ʼiḏa jaʼaka al-laḏina yuʼminuna biʼayatina faqul salamun ɛalaykum kataba rabbukum ɛala nafsihi ar-raḥmata ʼannahu man ɛamila minkum suʼan bijahalatin ṯumma taba min baɛdihi wa ʼaṣlaḥa faʼannahu ɣafurun raḥimun.
6,55,Wa kaḏalika nufaṣṣilu al-ʼayati wa litastabina sabilu al-mujrimin.
6,56,Qul ʼinni nuhitu ʼan ʼaɛbuda al-laḏina tadɛuna min duni Allahi qul la ʼattabiɛu ʼahwaʼakum qad ḍalaltu ʼiḏan wa ma ʼana mina al-muhtadin.
6,57,Qul ʼinni ɛala bayyinatin min rabbi wa kaḏḏabtum bihi ma ɛindi ma tastaɛjiluna bihi ʼin al-ḥukmu ʼilla Lillahi yaquṣṣu al-ḥaqqa wa huwa xayru al-faṣilin.
6,58,Qul law ʼanna ɛindi ma tastaɛjiluna bihi laquḍiya al-ʼamru bayni wa baynakum wa Allahu ʼaɛlamu biḏ̣-ḏ̣alimin.
6,59,Wa ɛindahu mafatiḥu al-ɣaybi la yaɛlamuha ʼilla huwa wa yaɛlamu ma fi al-barri wa al-baḥri wa ma tasquṭu min waraqatin ʼilla yaɛlamuha wa la ḥabbatin fi ḏ̣ulumati al-ʼarḍi wa la raṭbin wa la ya bisin ʼilla fi kitabin mubinin.
6,60,Wa huwa al-laḏi yatawaffakum bil-layli wa yaɛlamu ma jaraḥtum bin-nahari ṯumma yabɛaṯukum fihi liyuqḍa ʼajalun musamman ṯumma ʼilayhi marjiɛukum ṯumma yunabbiʼukum bima kuntum taɛmalun.
6,61,Wa huwa al-qahiru fawqa ɛibadihi wa yursilu ɛalaykum ḥafaḏ̣atan ḥatta ʼiḏa jaʼa ʼaḥadakum al-mawtu tawaffat/hu rusuluna wa hum la yufarriṭun.
6,62,Ṯumma ruddu ʼila Allahi mawlahum al-ḥaqqi ʼala lahu al-ḥukmu wa huwa ʼasraɛu al-ḥasibin.
6,63,Qul man yunajjikum min ḏ̣ulumati al-barri wa al-baḥri tadɛunahu taḍarruɛan wa xufyatan laʼin ʼanjana min haḏihi lanakunanna mina ac-cakirin.
6,64,Qul Allahu yunajjikum minha wa min kulli karbin ṯumma ʼantum tucrikun.
6,65,Qul huwa al-qadiru ɛala ʼan yabɛaṯa ɛalaykum ɛaḏaban min fawqikum ʼaw min taḥti ʼarjulikum ʼaw yalbisakum ciyaɛan wa yuḏiqa baɛḍakum baʼsa baɛḍin anḏ̣ur kayfa nuṣarrifu al-ʼayati laɛallahum yafqahun.
6,66,Wa kaḏḏaba bihi qawmuka wa huwa al-ḥaqqu qul lastu ɛalaykum biwakilin.
6,67,Likulli nabaʼiin mustaqarrun wa sawfa taɛlamun.
6,68,Wa ʼiḏa raʼayta al-laḏina yaxuḍuna fi ʼayatina faʼaɛriḍ ɛanhum ḥatta yaxuḍu fi ḥadiṯin ɣayrihi wa ʼimma yunsiyannaka ac-cayṭanu fala taqɛud baɛda aḏ-ḏikra maɛa al-qawmi aḏ̣-ḏ̣alimin.
6,69,Wa ma ɛala al-laḏina yattaquna min ḥisabihim min cayʼin wa lakin ḏikra laɛallahum yattaqun.
6,70,Wa ḏari al-laḏina attaxaḏu dinahum laɛiban wa lahwan wa ɣarrat/hum al-ḥayatu ad-dunya wa ḏakkir bihi ʼan tubsala nafsun bima kasabat laysa laha min duni Allahi wa liyun wa la cafiɛun wa ʼin taɛdil kulla ɛadlin la yuʼxaḏ minha ʼulaʼika al-laḏina ʼubsilu bima kasabu lahum carabun min ḥamimin wa ɛaḏabun ʼalimun bima kanu yakfurun.
6,71,Qul ʼanadɛu min duni Allahi ma la yanfaɛuna wa la yaḍurruna wa nuraddu ɛala ʼaɛqabina baɛda ʼiḏ hadana Allahu kallaḏi astahwat/hu ac-cayaṭinu fi al-ʼarḍi ḥayrana lahu ʼaṣḥabun yadɛunahu ʼila al-huda aʼtina qul ʼinna huda Allahi huwa al-huda wa ʼumirna linuslima lirabbi al-ɛalamin.
6,72,Wa ʼan ʼaqimu aṣ-ṣalata wa attaquhu wa huwa al-laḏi ʼilayhi tuḥcarun.
6,73,Wa huwa al-laḏi xalaqa as-samawati wa al-ʼarḍa bil-ḥaqqi wa yawma yaqulu kun fayakunu qawluhu al-ḥaqqu wa lahu al-mulku yawma yunfaxu fi aṣ-ṣuri ɛalimu al-ɣaybi wa ac-cahadati wa huwa al-ḥakimu al-xabir.
6,74,Wa ʼiḏ qala ʼibrahimu liʼabihi ʼazara ʼatattaxiḏu ʼaṣnaman ʼalihatan ʼinni ʼaraka wa qawmaka fi ḍalalin mubinin.
6,75,Wa kaḏalika nuri ʼibrahima malakuta as-samawati wa al-ʼarḍi wa liyakuna mina al-muqinin.
6,76,Falamma janna ɛalayhi al-laylu raʼa kawkaban qala haḏa rabbi falamma ʼafala qala la ʼuḥibbu al-ʼafilin.
6,77,Falamma raʼa al-qamara baziɣan qala haḏa rabbi falamma ʼafala qala laʼin lam yahdini rabbi laʼakunanna mina al-qawmi aḍ-ḍallin.
6,78,Falamma raʼa ac-camsa baziɣatan qala haḏa rabbi haḏa ʼakbaru falamma ʼafalat qala ya qawmi ʼinni bariʼun mimma tucrikun.
6,79,ʼinni wajjahtu wajhi lillaḏi faṭara as-samawati wa al-ʼarḍa ḥanifan wa ma ʼana mina al-mucrikin.
6,80,Wa ḥajjahu qawmuhu qala ʼatuḥajjuni fi Allahi wa qad hadani wa la ʼaxafu ma tucrikuna bihi ʼilla ʼan yacaʼa rabbi cayʼan wasiɛa rabbi kulla cayʼin ɛilman ʼafala tataḏakkarun.
6,81,Wa kayfa ʼaxafu ma ʼacraktum wa la taxafuna ʼannakum ʼacraktum Billahi ma lam yunazzil bihi ɛalaykum sulṭanan faʼayyu al-fariqayni ʼaḥaqqu bil-ʼamni ʼin kuntum taɛlamun.
6,82,Al-laḏina ʼamanu wa lam yalbisu ʼimanahum biḏ̣ulmin ʼulaʼika lahum al-ʼamnu wa hum muhtadun.
6,83,Wa tilka ḥujjatuna ʼataynaha ʼibrahima ɛala qawmihi narfaɛu darajatin man nacaʼu ʼinna rabbaka ḥakimun ɛalimun.
6,84,Wa wahabna lahu ʼisḥaqa wa yaɛquba kullan hadayna wa nuḥan hadayna min qablu wa min ḏurriyatihi dawuda wa sulaymana wa ʼayyuba wa yusufa wa musa wa haruna wa kaḏalika najzi al-muḥsinin.
6,85,Wa zakariya wa yaḥya wa ɛisa wa ʼilyasa kullun mina aṣ-ṣaliḥin.
6,86,Wa ʼismaɛila wa al-yasaɛa wa yunis wa luṭan wa kullan faḍḍalna ɛala al-ɛalamin.
6,87,Wa min ʼabaʼihim wa ḏurriyatihim wa ʼixwanihim wa ajtabaynahum wa hadaynahum ʼila ṣiraṭin mustaqimin.
6,88,Ḏalika huda Allahi yahdi bihi man yacaʼu min ɛibadihi wa law ʼacraku laḥabiṭa ɛanhum ma kanu yaɛmalun.
6,89,ʼulaʼika al-laḏina ʼataynahum al-kitaba wa al-ḥukma wa an-nubuwata faʼin yakfur biha haʼuulaʼ faqad wa kkalna biha qawman laysu biha bikafirin.
6,90,ʼulaʼika al-laḏina hada Allahu fabihudahum aqtadihi qul la ʼasʼalukum ɛalayhi ʼajran ʼin huwa ʼilla ḏikra lilɛalamin.
6,91,Wa ma qadaru Allaha ḥaqqa qadrihi ʼiḏ qalu ma ʼanzala Allahu ɛala bacarin min cayʼin qul man ʼanzala al-kitaba al-laḏi jaʼa bihi musa nuran wa hudan lilnnasi tajɛalunahu qaraṭisa tubdunaha wa tuxfuna kaṯiran wa ɛullimtum ma lam taɛlamu ʼantum wa la ʼabaʼuukum qul Allahu ṯumma ḏarhum fi xawḍihim yalɛabun.
6,92,Wa haḏa kitabun ʼanzalnahu mubarakun muṣaddiqu al-laḏi bayna yadayhi wa litunḏira ʼumma al-qura wa man ḥawlaha wa al-laḏina yuʼminuna bil-ʼaxirati yuʼminuna bihi wa hum ɛala ṣalatihim yuḥafiḏ̣un.
6,93,Wa man ʼaḏ̣lamu mimman aftara ɛala Allahi kaḏiban ʼaw qala ʼuḥiya ʼilayya wa lam yuḥa ʼilayhi cayʼun wa man qala saʼunzilu miṯla ma ʼanzala Allahu wa law tara ʼiḏ aḏ̣-ḏ̣alimuna fi ɣamarati al-mawti wa al-malaʼikatu basiṭu ʼaydihim ʼaxriju ʼanfusakum al-yawma tujzawna ɛaḏaba al-huni bima kuntum taquluna ɛala Allahi ɣayra al-ḥaqqi wa kuntum ɛan ʼayatihi tastakbirun.
6,94,Wa laqad jiʼtumuna furada kama xalaqnakum ʼawwala marratin wa taraktum ma xawwalnakum waraʼa ḏ̣uhurikum wa ma nara maɛakum cufaɛaʼakum al-laḏina zaɛamtum ʼannahum fikum curakaʼu laqad taqaṭṭaɛa baynakum wa ḍalla ɛankum ma kuntum tazɛumun.
6,95,ʼinna Allaha faliqu al-ḥabbi wa an-nawa yuxriju al-ḥayya mina al-mayyiti wa muxriju al-mayyiti mina al-ḥayyi ḏalikum Allahu faʼanna tuʼfakun.
6,96,Faliqu al-ʼiṣbaḥi wa jaɛala al-layla sakanan wa ac-camsa wa al-qamara ḥusbanan ḏalika taqdiru al-ɛazizi al-ɛalim.
6,97,Wa huwa al-laḏi jaɛala lakum an-nujuma litahtadu biha fi ḏ̣ulumati al-barri wa al-baḥri qad faṣṣalna al-ʼayati liqawmin yaɛlamun.
6,98,Wa huwa al-laḏi ʼancaʼakum min nafsin waḥidatin famustaqarrun wa mustawdaɛun qad faṣṣalna al-ʼayati liqawmin yafqahun.
6,99,Wa huwa al-laḏi ʼanzala mina as-samaʼi maʼan faʼaxrajna bihi nabata kulli cayʼin faʼaxrajna minhu xaḍiran nuxriju minhu ḥabban mutarakiban wa mina an-naxli min ṭalɛiha qinwanun daniyatun wa jannatin min ʼaɛnabin wa az-zaytuna wa ar-rummana muctabihan wa ɣayra mutacabihin anḏ̣uru ʼila ṯamarihi ʼiḏa ʼaṯmara wa yanɛihi ʼinna fi ḏalikum lʼayatin liqawmin yuʼminun.
6,100,Wa jaɛalu Lillahi curakaʼa al-jinna wa xalaqahum wa xaraqu lahu banina wa banatin biɣayri ɛilmin subḥanahu wa taɛala ɛamma yaṣifun.
6,101,Badiɛu as-samawati wa al-ʼarḍi ʼanna yakunu lahu waladun wa lam takun lahu ṣaḥibatun wa xalaqa kulla cayʼin wa huwa bikulli cayʼin ɛalimun.
6,102,Ḏalikum Allahu rabbukum la ʼilaha ʼilla huwa xaliqu kulli cayʼin faɛbuduhu wa huwa ɛala kulli cayʼin wa kilun.
6,103,La tudrikuhu al-ʼabṣaru wa huwa yudriku al-ʼabṣara wa huwa al-laṭifu al-xabir.
6,104,Qad jaʼakum baṣaʼiru min rabbikum faman ʼabṣara falinafsihi wa man ɛamiya faɛalayha wa ma ʼana ɛalaykum biḥafiḏ̣in.
6,105,Wa kaḏalika nuṣarrifu al-ʼayati wa liyaqulu darasta wa linubayyinahu liqawmin yaɛlamun.
6,106,Attabiɛ ma ʼuḥiya ʼilayka min rabbika la ʼilaha ʼilla huwa wa ʼaɛriḍ ɛan al-mucrikin.
6,107,Wa law caʼa Allahu ma ʼacraku wa ma jaɛalnaka ɛalayhim ḥafiḏ̣an wa ma ʼanta ɛalayhim biwakilin.
6,108,Wa la tasubbu al-laḏina yadɛuna min duni Allahi fayasubbu Allaha ɛadwan biɣayri ɛilmin kaḏalika zayyanna likulli ʼummatin ɛamalahum ṯumma ʼila rabbihim marjiɛuhum fayunabbiʼuhum bima kanu yaɛmalun.
6,109,Wa ʼaqsamu Billahi jahda ʼaymanihim laʼin jaʼat/hum ʼayatun layuʼminunna biha qul ʼinnama al-ʼayatu ɛinda Allahi wa ma yucɛirukum ʼannaha ʼiḏa jaʼat la yuʼminun.
6,110,Wa nuqallibu ʼafʼidatahum wa ʼabṣarahum kama lam yuʼminu bihi ʼawwala marratin wa naḏaruhum fi ṭuɣyanihim yaɛmahun.
6,111,Wa law ʼannana nazzalna ʼilayhim al-malaʼikata wa kallamahum al-mawta wa ḥacarna ɛalayhim kulla cayʼin qubulan ma kanu liyuʼminu ʼilla ʼan yacaʼa Allahu wa lakinna ʼakṯarahum yajhalun.
6,112,Wa kaḏalika jaɛalna likulli nabiyin ɛaduwan cayaṭina al-ʼinsi wa al-jinni yuḥi baɛḍuhum ʼila baɛḍin zuxrufa al-qawli ɣururan wa law caʼa rabbuka ma faɛaluhu faḏarhum wa ma yaftarun.
6,113,Wa litaṣɣa ʼilayhi ʼafʼidatu al-laḏina la yuʼminuna bil-ʼaxirati wa liyarḍawhu wa liyaqtarifu ma hum muqtarifun.
6,114,ʼafaɣayra Allahi ʼabtaɣi ḥakaman wa huwa al-laḏi ʼanzala ʼilaykum al-kitaba mufaṣṣalan wa al-laḏina ʼataynahum al-kitaba yaɛlamuna ʼannahu munazzalun min rabbika bil-ḥaqqi fala takunanna mina al-mumtarin.
6,115,Wa tammat kalimatu rabbika ṣidqan wa ɛadlan la mubaddila likalimatihi wa huwa as-samiɛu al-ɛalim.
6,116,Wa ʼin tuṭiɛ ʼakṯara man fi al-ʼarḍi yuḍilluka ɛan sabili Allahi ʼin yattabiɛuna ʼilla aḏ̣-ḏ̣anna wa ʼin hum ʼilla yaxruṣun.
6,117,ʼinna rabbaka huwa ʼaɛlamu man yaḍillu ɛan sabilihi wa huwa ʼaɛlamu bil-muhtadin.
6,118,Fakulu mimma ḏukira asmu Allahi ɛalayhi ʼin kuntum biʼayatihi muʼminin.
6,119,Wa ma lakum ʼalla taʼkulu mimma ḏukira asmu Allahi ɛalayhi wa qad faṣṣala lakum ma ḥarrama ɛalaykum ʼilla ma aḍṭurirtum ʼilayhi wa ʼinna kaṯiran layuḍilluna biʼahwaʼihim biɣayri ɛilmin ʼinna rabbaka huwa ʼaɛlamu bil-muɛtadin.
6,120,Wa ḏaru ḏ̣ahira al-ʼiṯmi wa baṭinahu ʼinna al-laḏina yaksibuna al-ʼiṯma sayujzawna bima kanu yaqtarifun.
6,121,Wa la taʼkulu mimma lam yuḏkar asmu Allahi ɛalayhi wa ʼinnahu lafisqun wa ʼinna ac-cayaṭina layuḥuna ʼila ʼawliyaʼihim liyujadilukum wa ʼin ʼaṭaɛtumuhum ʼinnakum lamucrikun.
6,122,ʼawaman kana maytan faʼaḥyaynahu wa jaɛalna lahu nuran yamci bihi fi an-nasi kaman maṯaluhu fi aḏ̣-ḏ̣ulumati laysa bixarijin minha kaḏalika zuyyina lilkafirina ma kanu yaɛmalun.
6,123,Wa kaḏalika jaɛalna fi kulli qaryatin ʼakabira mujrimiha liyamkuru fiha wa ma yamkuruna ʼilla biʼanfusihim wa ma yacɛurun.
6,124,Wa ʼiḏa jaʼat/hum ʼayatun qalu lan nuʼmina ḥatta nuʼta miṯla ma ʼutiya rusulu Allahi Allahu ʼaɛlamu ḥayṯu yajɛalu risalatahu sayuṣibu al-laḏina ʼajramu ṣaɣarun ɛinda Allahi wa ɛaḏabun cadidun bima kanu yamkurun.
6,125,Faman yurid Allahu ʼan yahdiyahu yacraḥ ṣadrahu lilʼislami wa man yurid ʼan yuḍillahu yajɛal ṣadrahu ḍayyiqan ḥarajan kaʼannama yaṣṣaɛɛadu fi as-samaʼi kaḏalika yajɛalu Allahu ar-rijsa ɛala al-laḏina la yuʼminun.
6,126,Wa haḏa ṣiraṭu rabbika mustaqiman qad faṣṣalna al-ʼayati liqawmin yaḏḏakkarun.
6,127,Lahum daru as-salami ɛinda rabbihim wa huwa waliyuhum bima kanu yaɛmalun.
6,128,Wa yawma yaḥcuruhum jamiɛan ya maɛcara al-jinni qad astakṯartum mina al-ʼinsi wa qala ʼawliyaʼuuhum mina al-ʼinsi rabbana astamtaɛa baɛḍuna bibaɛḍin wa balaɣna ʼajalana al-laḏi ʼajjalta lana qala an-naru maṯwakum xalidina fiha ʼilla ma caʼa Allahu ʼinna rabbaka ḥakimun ɛalimun.
6,129,Wa kaḏalika nuwalli baɛḍa aḏ̣-ḏ̣alimina baɛḍan bima kanu yaksibun.
6,130,Ya maɛcara al-jinni wa al-ʼinsi ʼalam yaʼtikum rusulun minkum yaquṣṣuna ɛalaykum ʼaya ti wa yunḏirunakum liqaʼa yawmikum haḏa qalu cahidna ɛala ʼanfusina wa ɣarrat/hum al-ḥaya atu ad-dunya wa cahidu ɛala ʼanfusihim ʼannahum kanu kafirin.
6,131,Ḏalika ʼan lam yakun rabbuka muhlika al-qura biḏ̣ulmin wa ʼahluha ɣafilun.
6,132,Wa likullin darajatun mimma ɛamilu wa ma rabbuka biɣafilin ɛamma yaɛmalun.
6,133,Wa rabbuka al-ɣaniyu ḏu ar-raḥmati ʼin yacaʼ yuḏ/hibkum wa yastaxlif min baɛdikum ma yacaʼu kama ʼancaʼakum min ḏurriyati qawmin ʼaxarin.
6,134,ʼinna ma tuɛaduna laʼatin wa ma ʼantum bimuɛjizin.
6,135,Qul ya qawmi aɛmalu ɛala makanatikum ʼinni ɛamilun fasawfa taɛlamuna man takunu lahu ɛaqibatu ad-dari ʼinnahu la yufliḥu aḏ̣-ḏ̣alimun.
6,136,Wa jaɛalu Lillahi mimma ḏaraʼa mina al-ḥarṯi wa al-ʼanɛam naṣiban faqalu haḏa Lillahi bizaɛmihim wa haḏa licurakaʼina fama kana licurakaʼihim fala yaṣilu ʼila Allahi wa ma kana Lillahi fahuwa yaṣilu ʼila curakaʼihim saʼa ma yaḥkumun.
6,137,Wa kaḏalika zayyana likaṯirin mina al-mucrikina qatla ʼawladihim curakaʼuuhum liyurduhum wa liyalbisu ɛalayhim dinahum wa law caʼa Allahu ma faɛaluhu faḏarhum wa ma yaftarun.
6,138,Wa qalu haḏihi ʼanɛamun wa ḥarṯun ḥijrun la yaṭɛamuha ʼilla man nacaʼu bizaɛmihim wa ʼanɛamun ḥurrimat ḏ̣uhuruha wa ʼanɛamun la yaḏkuruna asma Allahi ɛalayha aftiraʼan ɛalayhi sayajzihim bima kanu yaftarun.
6,139,Wa qalu ma fi buṭuni haḏihi al-ʼanɛam xaliṣatun liḏukurina wa muḥarramun ɛala ʼazwajina wa ʼin yakun maytatan fahum fihi curakaʼu sayajzihim waṣfahum ʼinnahu ḥakimun ɛalimun.
6,140,Qad xasira al-laḏina qatalu ʼawladahum safahan biɣayri ɛilmin wa ḥarramu ma razaqahum Allahu aftiraʼan ɛala Allahi qad ḍallu wa ma kanu muhtadin.
6,141,Wa huwa al-laḏi ʼancaʼa jannatin maɛrucatin wa ɣayra maɛrucatin wa an-naxla wa az-zarɛa muxtalifan ʼukuluhu wa az-zaytuna wa ar-rummana mutacabihan wa ɣayra mutacabihin kulu min ṯamarihi ʼiḏa ʼaṯmara wa ʼatu ḥaqqahu yawma ḥaṣadihi wa la tusrifu ʼinnahu la yuḥibbu al-musrifin.
6,142,Wa mina al-ʼanɛam ḥamulatan wa farcan kulu mimma razaqakum Allahu wa la tattabiɛu xuṭuwati ac-cayṭani ʼinnahu lakum ɛaduwun mubinun.
6,143,Ṯamaniyata ʼazwajin mina aḍ-ḍaʼni aṯnayni wa mina al-maɛzi aṯnayni qul ʼalḏḏakarayni ḥarrama ʼam al-ʼunṯayayni ʼamma actamalat ɛalayhi ʼarḥamu al-ʼunṯayayni nabbiʼuni biɛilmin ʼin kuntum ṣadiqin.
6,144,Wa mina al-ʼibili aṯnayni wa mina al-baqari aṯnayni qul ʼalḏḏakarayni ḥarrama ʼam al-ʼunṯayayni ʼamma actamalat ɛalayhi ʼarḥamu al-ʼunṯayayni ʼam kuntum cuhadaʼa ʼiḏ waṣṣakum Allahu bihaḏa faman ʼaḏ̣lamu mimman aftara ɛala Allahi kaḏiban liyuḍilla an-nasa biɣayri ɛilmin ʼinna Allaha la yahdi al-qawma aḏ̣-ḏ̣alimin.
6,145,Qul la ʼajidu fi ma ʼuḥiya ʼilayya muḥarraman ɛala ṭaɛimin yaṭɛamuhu ʼilla ʼan yakuna maytatan ʼaw daman masfuḥan ʼaw laḥma xinzirin faʼinnahu rijsun ʼaw fisqan ʼuhilla liɣayri Allahi bihi faman aḍṭurra ɣayra baɣin wa la ɛadin faʼinna rabbaka ɣafurun raḥimun.
6,146,Wa ɛala al-laḏina hadu ḥarramna kulla ḏi ḏ̣ufurin wa mina al-baqari wa al-ɣanami ḥarramna ɛalayhim cuḥumahuma ʼilla ma ḥamalat ḏ̣uhuruhuma ʼaw al-ḥawaya ʼaw ma axtalaṭa biɛaḏ̣min ḏalika jazaynahum bibaɣyihim wa ʼinna laṣadiqun.
6,147,Faʼin kaḏḏabuka faqul rabbukum ḏu raḥmatin wasiɛatin wa la yuraddu baʼsuhu ɛan al-qawmi al-mujrimin.
6,148,Sayaqulu al-laḏina ʼacraku law caʼa Allahu ma ʼacrakna wa la ʼabaʼuuna wa la ḥarramna min cayʼin kaḏalika kaḏḏaba al-laḏina min qablihim ḥatta ḏaqu baʼsana qul hal ɛindakum min ɛilmin fatuxrijuhu lana ʼin tattabiɛuna ʼilla aḏ̣-ḏ̣anna wa ʼin ʼantum ʼilla taxruṣun.
6,149,Qul falillahi al-ḥujjatu al-baliɣatu falaw caʼa lahadakum ʼajmaɛin.
6,150,Qul halumma cuhadaʼakum al-laḏina yac/haduna ʼanna Allaha ḥarrama haḏa faʼin cahidu fala tac/had maɛahum wa la tattabiɛ ʼahwaʼa al-laḏina kaḏḏabu biʼayatina wa al-laḏina la yuʼminuna bil-ʼaxirati wa hum birabbihim yaɛdilun.
6,151,Qul taɛalaw ʼatlu ma ḥarrama rabbukum ɛalaykum ʼalla tucriku bihi cayʼan wa bil-walidayni ʼiḥsanan wa la taqtulu ʼawladakum min ʼimlaqin naḥnu narzuqukum wa ʼiyahum wa la taqrabu al-fawaḥica ma ḏ̣ahara minha wa ma baṭana wa la taqtulu an-nafsa allati ḥarrama Allahu ʼilla bil-ḥaqqi ḏalikum waṣṣakum bihi laɛallakum taɛqilun.
6,152,Wa la taqrabu mala al-yatimi ʼilla bi-ati hiya ʼaḥsanu ḥatta yabluɣa ʼacuddahu wa ʼawfu al-kayla wa al-mizana bil-qisṭi la nukallifu nafsan ʼilla wusɛaha wa ʼiḏa qultum faɛdilu wa law kana ḏa qurba wa biɛahdi Allahi ʼawfu ḏalikum waṣṣakum bihi laɛallakum taḏakkarun.
6,153,Wa ʼanna haḏa ṣiraṭi mustaqiman fa attabiɛuhu wa la tattabiɛu as-subula fatafarraqa bikum ɛan sabilihi ḏalikum waṣṣakum bihi laɛallakum tattaqun.
6,154,Ṯumma ʼatayna musa al-kitaba tamaman ɛala al-laḏi ʼaḥsana wa tafṣilan likulli cayʼin wa hudan wa raḥmatan laɛallahum biliqaʼi rabbihim yuʼminun.
6,155,Wa haḏa kitabun ʼanzalnahu mubarakun fa attabiɛuhu wa attaqu laɛallakum turḥamun.
6,156,ʼan taqulu ʼinnama ʼunzila al-kitabu ɛala ṭaʼifatayni min qablina wa ʼin kunna ɛan dirasatihim laɣafilin.
6,157,ʼaw taqulu law ʼanna ʼunzila ɛalayna al-kitabu lakunna ʼahda minhum faqad jaʼakum bayyinatun min rabbikum wa hudan wa raḥmatun faman ʼaḏ̣lamu mimman kaḏḏaba biʼayati Allahi wa ṣadafa ɛanha sanajzi al-laḏina yaṣdifuna ɛan ʼayatina suʼa al-ɛaḏabi bima kanu yaṣdifun.
6,158,Hal yanḏ̣uruna ʼilla ʼan taʼtiyahum al-malaʼikatu ʼaw yaʼtiya rabbuka ʼaw yaʼtiya baɛḍu ʼayati rabbika yawma yaʼti baɛḍu ʼayati rabbika la yanfaɛu nafsan ʼimanuha lam takun ʼamanat min qablu ʼaw kasabat fi ʼimaniha xayran qul antaḏ̣iru ʼinna muntaḏ̣irun.
