surah_number,ayah_number,ayah_content,latin_inalco,Tifinagh
22,37,"Ur ippawev ar Öebbi uksum nnsen, ne$ idamen nnsen, d awez$i. Ara T iawven, d aêezzeb nnwen. Am akka, Inub fellawen yissen, iwakken ad aS tgem ccan i Öebbi, ilmend n nnhaya nnwen s$uôeS. Becceô wid imaânen.","Ur ittaweḍ ar Ṛebbi uksum nnsen, neɣ idamen nnsen, d awezɣi. Ara T iawḍen, d aḥezzeb nnwen. Am akka, Inub fellawen yissen, iwakken ad aS tgem ccan i Ṛebbi, ilmend n nnhaya nnwen sɣuṛeS. Becceṛ wid imaɛnen.","ⵓⵔ ⵉⵜⵜⴰⵡⴹ ⴰⵔ ⵕⴱⴱⵉ ⵓⴽⵙⵓⵎ ⵏⵏⵙⵏ, ⵏⵖ ⵉⴷⴰⵎⵏ ⵏⵏⵙⵏ, ⴷ ⴰⵡⵣⵖⵉ. ⴰⵔⴰ ⵜ ⵉⴰⵡⴹⵏ, ⴷ ⴰⵃⵣⵣⴱ ⵏⵏⵡⵏ. ⴰⵎ ⴰⴽⴽⴰ, ⵉⵏⵓⴱ ⴼⵍⵍⴰⵡⵏ ⵢⵉⵙⵙⵏ, ⵉⵡⴰⴽⴽⵏ ⴰⴷ ⴰⵙ ⵜⴳⵎ ⵛⵛⴰⵏ ⵉ ⵕⴱⴱⵉ, ⵉⵍⵎⵏⴷ ⵏ ⵏⵏⵀⴰⵢⴰ ⵏⵏⵡⵏ ⵙⵖⵓⵕⵙ. ⴱⵛⵛⵕ ⵡⵉⴷ ⵉⵎⴰⵄⵏⵏ."
22,38,"Ih, Öebbi Ipfukku wid iumnen. Ih, Öebbi ur Iêemmel ara yal lxayen ajehli.","Ih, Ṛebbi Itfukku wid iumnen. Ih, Ṛebbi ur Iḥemmel ara yal lxayen ajehli.","ⵉⵀ, ⵕⴱⴱⵉ ⵉⵜⴼⵓⴽⴽⵓ ⵡⵉⴷ ⵉⵓⵎⵏⵏ. ⵉⵀ, ⵕⴱⴱⵉ ⵓⵔ ⵉⵃⵎⵎⵍ ⴰⵔⴰ ⵢⴰⵍ ⵍⵅⴰⵢⵏ ⴰⵊⵀⵍⵉ."
22,39,"Tsriê i wid ipwawwven imi pwadensen - Öebbi, s tidep, Izmer a ten Isellek -,","Tsriḥ i wid itwawwḍen imi twadensen - Ṛebbi, s tidet, Izmer a ten Isellek -,","ⵜⵙⵔⵉⵃ ⵉ ⵡⵉⴷ ⵉⵜⵡⴰⵡⵡⴹⵏ ⵉⵎⵉ ⵜⵡⴰⴷⵏⵙⵏ - ⵕⴱⴱⵉ, ⵙ ⵜⵉⴷⵜ, ⵉⵣⵎⵔ ⴰ ⵜⵏ ⵉⵙⵍⵍⴽ -,"
22,40,"wid id ssuff$en seg ixxamen nnsen, war ssebba, imi kan qqaôen: ""Mass nne$ d Öebbi"". Lemmer ur Iswexxiô ara Öebbi imdanen, kra s kra, ara ipwahudden, war ccekk, d tiqwebtin, timezgida, lemûellat, lowamaâ ideg d smektayen, aîas, ism n Öebbi. Ih, Öebbi Ippaâwan win iT ippaâwanen. Öebbi, s tidep, d Uohid, d Uzmir.","wid id ssuffɣen seg ixxamen nnsen, war ssebba, imi kan qqaṛen: ""Mass nneɣ d Ṛebbi"". Lemmer ur Iswexxiṛ ara Ṛebbi imdanen, kra s kra, ara itwahudden, war ccekk, d tiqwebtin, timezgida, lemṣellat, lǧwamaɛ ideg d smektayen, aṭas, ism n Ṛebbi. Ih, Ṛebbi Ittaɛwan win iT ittaɛwanen. Ṛebbi, s tidet, d Uǧhid, d Uzmir.","ⵡⵉⴷ ⵉⴷ ⵙⵙⵓⴼⴼⵖⵏ ⵙⴳ ⵉⵅⵅⴰⵎⵏ ⵏⵏⵙⵏ, ⵡⴰⵔ ⵙⵙⴱⴱⴰ, ⵉⵎⵉ ⴽⴰⵏ ⵇⵇⴰⵕⵏ: ""ⵎⴰⵙⵙ ⵏⵏⵖ ⴷ ⵕⴱⴱⵉ"". ⵍⵎⵎⵔ ⵓⵔ ⵉⵙⵡⵅⵅⵉⵕ ⴰⵔⴰ ⵕⴱⴱⵉ ⵉⵎⴷⴰⵏⵏ, ⴽⵔⴰ ⵙ ⴽⵔⴰ, ⴰⵔⴰ ⵉⵜⵡⴰⵀⵓⴷⴷⵏ, ⵡⴰⵔ ⵛⵛⴽⴽ, ⴷ ⵜⵉⵇⵡⴱⵜⵉⵏ, ⵜⵉⵎⵣⴳⵉⴷⴰ, ⵍⵎⵚⵍⵍⴰⵜ, ⵍⴷⵊⵡⴰⵎⴰⵄ ⵉⴷⴳ ⴷ ⵙⵎⴽⵜⴰⵢⵏ, ⴰⵟⴰⵙ, ⵉⵙⵎ ⵏ ⵕⴱⴱⵉ. ⵉⵀ, ⵕⴱⴱⵉ ⵉⵜⵜⴰⵄⵡⴰⵏ ⵡⵉⵏ ⵉⵜ ⵉⵜⵜⴰⵄⵡⴰⵏⵏ. ⵕⴱⴱⵉ, ⵙ ⵜⵉⴷⵜ, ⴷ ⵓⴷⵊⵀⵉⴷ, ⴷ ⵓⵣⵎⵉⵔ."
22,41,"Wid, ma Nessqâad iten di tmurt, bedden i téallit, pzekkin, ppamôen lewqama, gedlen tuccva. Ar Öebbi ara d gwrin lumuô.","Wid, ma Nessqɛad iten di tmurt, bedden i tẓallit, tzekkin, ttamṛen lewqama, gedlen tuccḍa. Ar Ṛebbi ara d gwrin lumuṛ.","ⵡⵉⴷ, ⵎⴰ ⵏⵙⵙⵇⵄⴰⴷ ⵉⵜⵏ ⴷⵉ ⵜⵎⵓⵔⵜ, ⴱⴷⴷⵏ ⵉ ⵜⵥⴰⵍⵍⵉⵜ, ⵜⵣⴽⴽⵉⵏ, ⵜⵜⴰⵎⵕⵏ ⵍⵡⵇⴰⵎⴰ, ⴳⴷⵍⵏ ⵜⵓⵛⵛⴹⴰ. ⴰⵔ ⵕⴱⴱⵉ ⴰⵔⴰ ⴷ ⴳⵡⵔⵉⵏ ⵍⵓⵎⵓⵕ."
22,42,"Ma skaddben k, ni$ skaddben, uqbel nnsen, igduden n Nuê, Âad, akked Tamud,","Ma skaddben k, niɣ skaddben, uqbel nnsen, igduden n Nuḥ, Ɛad, akked Tamud,","ⵎⴰ ⵙⴽⴰⴷⴷⴱⵏ ⴽ, ⵏⵉⵖ ⵙⴽⴰⴷⴷⴱⵏ, ⵓⵇⴱⵍ ⵏⵏⵙⵏ, ⵉⴳⴷⵓⴷⵏ ⵏ ⵏⵓⵃ, ⵄⴰⴷ, ⴰⴽⴽⴷ ⵜⴰⵎⵓⴷ,"
22,43,"agdud n Ibôahim, akked ugdud n Luî,","agdud n Ibṛahim, akked ugdud n Luṭ,","ⴰⴳⴷⵓⴷ ⵏ ⵉⴱⵕⴰⵀⵉⵎ, ⴰⴽⴽⴷ ⵓⴳⴷⵓⴷ ⵏ ⵍⵓⵟ,"
22,44,"At Madyan. Skaddben Musa. Fki$ lmudda i ijehliyen, sinna, Zzi$ d fellasen. A tuzzma W imiren!","At Madyan. Skaddben Musa. Fkiɣ lmudda i ijehliyen, sinna, Zziɣ d fellasen. A tuzzma W imiren!","ⴰⵜ ⵎⴰⴷⵢⴰⵏ. ⵙⴽⴰⴷⴷⴱⵏ ⵎⵓⵙⴰ. ⴼⴽⵉⵖ ⵍⵎⵓⴷⴷⴰ ⵉ ⵉⵊⵀⵍⵉⵢⵏ, ⵙⵉⵏⵏⴰ, ⵣⵣⵉⵖ ⴷ ⴼⵍⵍⴰⵙⵏ. ⴰ ⵜⵓⵣⵣⵎⴰ ⵡ ⵉⵎⵉⵔⵏ!"
22,45,"Acêal n temdinin ay Nesqucc imi densent. Haatent ppint. Xlan lebyar, akked lebruo uohiden.","Acḥal n temdinin ay Nesqucc imi densent. Haatent ttint. Xlan lebyar, akked lebruǧ uǧhiden.","ⴰⵛⵃⴰⵍ ⵏ ⵜⵎⴷⵉⵏⵉⵏ ⴰⵢ ⵏⵙⵇⵓⵛⵛ ⵉⵎⵉ ⴷⵏⵙⵏⵜ. ⵀⴰⴰⵜⵏⵜ ⵜⵜⵉⵏⵜ. ⵅⵍⴰⵏ ⵍⴱⵢⴰⵔ, ⴰⴽⴽⴷ ⵍⴱⵔⵓⴷⵊ ⵓⴷⵊⵀⵉⴷⵏ."
22,46,"Day ur unagen ara di tmurt? Ad sâun, $ef waya, ulawen ad fehmen yissen, imeééu$en ara islen yissen. Maca, maççi d allen, d ulawen deg idmaren i idre$len.","Day ur unagen ara di tmurt? Ad sɛun, ɣef waya, ulawen ad fehmen yissen, imeẓẓuɣen ara islen yissen. Maca, mačči d allen, d ulawen deg idmaren i idreɣlen.","ⴷⴰⵢ ⵓⵔ ⵓⵏⴰⴳⵏ ⴰⵔⴰ ⴷⵉ ⵜⵎⵓⵔⵜ? ⴰⴷ ⵙⵄⵓⵏ, ⵖⴼ ⵡⴰⵢⴰ, ⵓⵍⴰⵡⵏ ⴰⴷ ⴼⵀⵎⵏ ⵢⵉⵙⵙⵏ, ⵉⵎⵥⵥⵓⵖⵏ ⴰⵔⴰ ⵉⵙⵍⵏ ⵢⵉⵙⵙⵏ. ⵎⴰⵛⴰ, ⵎⴰⵜⵜⵛⵉ ⴷ ⴰⵍⵍⵏ, ⴷ ⵓⵍⴰⵡⵏ ⴷⴳ ⵉⴷⵎⴰⵔⵏ ⵉ ⵉⴷⵔⵖⵍⵏ."
